url,written,written_human_readable

https://radosgw.public.os.wwu.de/n4bi-fzj/ome2024-ngff-challenge/1micron_reconstructions_VOI1.zarr,240740138496,224.21 GiB

https://radosgw.public.os.wwu.de/n4bi-fzj/ome2024-ngff-challenge/1micron_reconstructions_VOI2.zarr,236294553088,220.07 GiB

https://radosgw.public.os.wwu.de/n4bi-fzj/ome2024-ngff-challenge/1micron_sections.zarr,945395498496,880.47 GiB

https://radosgw.public.os.wwu.de/n4bi-fzj/ome2024-ngff-challenge/BigBrain.zarr,0,0 GiB
