source,url

Jülich,https://radosgw.public.os.wwu.de/n4bi-fzj/ome2024-ngff-challenge/fzj.csv

Göttingen, https://radosgw.public.os.wwu.de/n4bi-wp1/challenge/flamingo.csv
