url,written,written_human_readable
https://radosgw.public.os.wwu.de/n4bi-goe/Platynereis-H2B-TL.ome.zarr,2352780058,2.35 GB
https://radosgw.public.os.wwu.de/n4bi-goe/Zebrafish-H2B-short-timelapse.ome.zarr,10417827625,10.42 GB
https://radosgw.public.os.wwu.de/n4bi-goe/Zebrafish-XSPIM-multiview.ome.zarr,7168396046,7.17 GB
